time,cmd_speed,cmd_steer,x,y,yaw,v_actual,yaw_rate
5255.694,2.659316062927246,0.10390590131282806,19.21063909993678,-2.154877428587243,-0.3100367697443586,1.7506065419585843,0.2817934858527875
5255.695,2.659316062927246,0.10390590131282806,19.21230533201119,-2.155411040649685,-0.30975440997163534,1.7512284226337005,0.28143804953631824
5255.696,2.659316062927246,0.10390590131282806,19.21397230308106,-2.1559443741988336,-0.30947238516988435,1.7518452030538183,0.28110218889954736
5255.697,2.659316062927246,0.10390590131282806,19.215640008388423,-2.1564774274501115,-0.30919067633649794,1.752457044676752,0.28078536059241566
5255.698,2.659316062927246,0.10390590131282806,19.21730844335388,-2.1570101986416845,-0.3089092651183966,1.7530641336715778,0.28048692019043947
5255.699,2.659316062927246,0.10390590131282806,19.218977603596496,-2.1575426860439615,-0.3086281339009726,1.7536666791130462,0.2802061283116758
5255.7,2.659316062927246,0.10390590131282806,19.220647484953556,-2.158074887970229,-0.30834726589876743,1.754264911370403,0.279942156911825
5255.7,2.659316062927246,0.10390590131282806,19.222318083498262,-2.158606802787051,-0.3080666452375208,1.754859080220206,0.2796940957744643
5255.702,2.659316062927246,0.10390590131282806,19.223989395555456,-2.159138428923473,-0.3077862570292279,1.7554494528748832,0.2794609594880986
5255.703,2.659316062927246,0.10390590131282806,19.22566141771577,-2.159669764879146,-0.3075060874398696,1.75603631196484,0.27924169479481087
5255.704,2.659316062927246,0.10390590131282806,19.227334146847603,-2.160200809231767,-0.30722612374932073,1.756619953495724,0.2790351881958674
5255.704,2.659316062927246,0.10390590131282806,19.229007580107403,-2.1607315606446735,-0.3069463544048589,1.7572006847873913,0.278840273743443
5255.706,2.659316062927246,0.10390590131282806,19.23068171494823,-2.161262017872772,-0.30666676906592727,1.7577788223644295,0.27865574099122264
5255.707,2.659316062927246,0.10390590131282806,19.232356549125022,-2.1617921797682165,-0.3063873586363463,1.758354689866457,0.2784803431167522
5255.707,2.659316062927246,0.10390590131282806,19.234032080699322,-2.1623220452865484,-0.30610811529451665,1.7589286161073383,0.27831280478407405
5255.709,2.659316062927246,0.10390590131282806,19.235708308041467,-2.1628516134922213,-0.30582903251415056,1.759500932995652,0.27815182992942644
5255.71,2.659316062927246,0.10390590131282806,19.237385229831293,-2.1633808835623225,-0.30555010507698704,1.7600719734789434,0.2779961096499333
5255.711,2.659316062927246,0.10390590131282806,19.239062845057237,-2.1639098547895164,-0.30527132908085514,1.7606420695520164,0.27784433008477893
5255.712,2.659316062927246,0.10390590131282806,19.240741153012518,-2.16443852658324,-0.3049927019308896,1.7612115502169146,0.2776951803892689
5255.713,2.659316062927246,0.10390590131282806,19.242420153290606,-2.164966898471624,-0.30471422233042217,1.761780739816025,0.27754736022321747
5255.714,2.659316062927246,0.10390590131282806,19.2440998457788,-2.165494970103861,-0.3044358902638047,1.762349956242135,0.27739958683399646
