time,cte_signed,steer_cmd_pub,cmd_speed_pub,steer_act,yaw_rate,speed,ax,ay,az,wz,last_cmd_v,last_cmd_steer
35958.668,-1.903464080885574e-05,-0.02249999999998863,0.07999999999934333,-1.8332892404160361e-07,7.266422395563837e-07,0.12443470434043105,0.022300873533198016,-1.2818563809015684e-06,9.80000575153033,7.257030323620142e-07,0.09999999999917916,-0.024999999999987366
35958.672,-1.9005816544727075e-05,-0.00822620931382291,0.175999999999212,-1.8332892404160361e-07,7.328543064620669e-07,0.12454616152251258,0.022300873533198016,-1.2818563809015684e-06,9.80000575153033,7.257030323620142e-07,0.19999999999917917,-0.006640232570915609
35958.722,-1.8669190939787246e-05,-0.029298830245206353,0.27519999999918576,-0.00021369848030783345,-0.0001978066247300209,0.12851317302309276,0.13008431472452023,-0.008729522687835427,9.798839378411017,-0.00011383189803096223,0.2999999999991792,-0.031640232570915625
35958.772,-1.8361930055774843e-05,-0.008906092338344707,0.37503999999918053,-0.01401241737573855,-0.0013908672930648637,0.1378766084924455,0.1861533935747651,-0.021323102303839853,9.800061749773667,-0.0011840645834880186,0.3999999999991792,-0.006640232570915637
35958.822,-1.8700773844031484e-05,0.015633181452336165,0.47500799999917387,-0.021249036904963603,-0.0016496295127129087,0.1485514545248878,0.24239486240971111,0.009740904253822262,9.79937511550383,-0.0017507230538082446,0.4999999999991722,0.01835976742907848
35958.872,-1.9100184428182843e-05,-0.004412891168522449,0.5750015999991531,-0.008879281048310261,-0.00045836555067830067,0.1639944916985255,0.2957825748461036,0.021025860899160007,9.800090866884686,-0.000733690376484272,0.599999999999148,-0.0066402325708400725
35958.922,-2.0130126403457165e-05,0.016082501569391675,0.675000319999149,-0.0010288278871231071,-0.00017527083951030214,0.17930031411220734,0.3479258502299364,-0.010791995938136482,9.79941220616538,-5.05845823444455e-05,0.699999999999148,0.018359767429159908
35958.972,-2.1704398731853458e-05,-0.004367959156816854,0.7750000639991482,0.005503954105871678,0.0009857243953070168,0.19861420274934366,0.3978775743700426,0.030443280667260094,9.800116589009846,0.000773261264491372,0.799999999999148,-0.006640232570840024
35959.022,-2.2576443822149512e-05,0.016086994770562295,0.875000012799148,0.010282664662828456,0.0008835511463300162,0.22064175344573903,0.4474283526871819,-0.016481830211831958,9.799432715298362,0.0010927548883685424,0.8999999999991479,0.018359767429159977
35959.072,-2.345296865373915e-05,0.04063249016330021,0.9750000025591479,0.011309094225224303,0.0019694715697110943,0.2457277766478217,0.49391116364256227,0.030396546489081147,9.800140824331498,0.0017072764067137232,0.9999999999991479,0.04335976742915998
35959.122,-2.3197930787042854e-05,0.020587039702574,1.0750000005111477,0.01500401209021307,0.003523082210007191,0.2711485351942883,0.5398707622541582,0.04265685617687817,9.79947126707513,0.0028217925498919675,1.0999999999991479,0.01835976742915998
35959.172,-1.972980759749772e-05,0.013420506961473698,1.17500000010154,0.024887020301245677,0.003951405749918637,0.30088575162667813,0.5853946783728426,-0.020625604401472982,9.800148904542725,0.0040611312344995786,1.199999999999138,0.012624225545795887
35959.222,-1.3441963286689658e-05,-0.009796146312636304,1.2750000000196182,0.024446653842395527,0.004254954424237317,0.33001735559130474,0.6282907879658133,-0.0042114436846149485,9.799467514406384,0.0044614297466696266,1.2999999999991378,-0.012375774454204081
35959.272,-2.7310361714962747e-06,-0.034617811640047305,1.375000000003234,0.010174639315349232,0.0012740621386228704,0.36542437613543255,0.6700736786664347,-0.047668128644249456,9.800187683133208,0.0019032055261986854,1.399999999999138,-0.037375774454204085
35959.322,1.0529878156863618e-05,-0.0595999781727884,1.4749999999999572,0.001318226500107933,-0.0024023584602721466,0.399266264345398,0.7100338363358953,-0.07253924210642701,9.799513529833336,-0.001104908920799031,1.499999999999138,-0.06237577445420408
35959.372,2.2183274293079045e-05,-0.08459819482606197,1.5749999999992998,-0.03239442291057326,-0.009259017678484185,0.4351528056553986,0.7462936042560867,-0.103685848390468,9.800222232193805,-0.008155011790621067,1.5999999999991357,-0.08737577445420348
35959.422,2.547934077960512e-05,-0.10959801649137803,1.6749999999986158,-0.04711928609918914,-0.017131946201606605,0.4755735075672218,0.7816329398035959,-0.12701721487821724,9.7995960724255,-0.014895959183349442,1.699999999998445,-0.11237577445419092
35959.472,8.743638920784415e-06,-0.11049676280469176,1.7749999999984791,-0.0871628843539094,-0.027370383859929865,0.5147517245264361,0.8128272213829891,-0.15893471585192143,9.800247091903596,-0.025561844784948752,1.799999999998445,-0.11059662350617105
35959.522,-4.496286966266563e-05,-0.08808663743602822,1.874999999998438,-0.10247903808661007,-0.03538003015791801,0.555480921124582,0.8506356678806145,-0.1223983967834761,9.7995471419759,-0.03414488085413608,1.8999999999984276,-0.08559662350617672
35959.572,-0.00015381618074096986,-0.09992154922418386,1.9749999999984296,-0.1120293271869297,-0.03796260166797057,0.6001677847584723,0.8981789882744863,-0.013593684963957022,9.80012187967709,-0.03793856621004549,1.9999999999984275,-0.10123653942286784
35959.622,-0.0003291960486893775,-0.12360504040299856,1.9793416793790364,-0.10983851286250168,-0.041055554103301035,0.6464159647258143,0.9240608373136412,-0.08314475695393085,9.799604352156022,-0.04026684440708372,1.9804270992241881,-0.12623653942286686
35959.672,-0.0005859666262678708,-0.14847338952087574,2.0602100152551532,-0.11923499412528127,-0.04809366613899153,0.6905349734803006,0.8890709964609297,-0.15422577560369427,9.800316114718044,-0.04678135346917315,2.0804270992241825,-0.1512365394228621
