time,cte,steer_cmd,steer_act,yaw_rate,speed,steer_left,steer_right,ax,ay,az,wz
41994.46,1.9726456345023402e-05,-0.05294117647058823,-1.7302932331375587e-07,7.315111713315727e-07,0.12443466761182982,-2.7620905651559724e-07,-6.98495901119145e-08,0.022501062758398454,-1.4121339878419136e-06,9.800005802919447,7.321010251430347e-07
41994.513,1.9680801932399786e-05,-0.057992200475233735,-0.005673539380416592,-0.0005303880182276395,0.12555242799145838,-0.005656843049148819,-0.005690235711684366,0.021790311826222326,0.008667415841903683,9.800003193711701,0.00011704166785618594
41994.612,1.7558389308798977e-05,-0.1114384793462261,-0.03682405863782012,-0.00653325756915102,0.29873742875093695,-0.03630678234452134,-0.03734133493111891,1.8073664439873303,-0.05504061265129323,9.800456845064064,-0.004854996782389782
41994.712,-5.4433194386274105e-06,-0.1697242837039136,-0.0798667544561944,-0.01406468646366992,0.299341101530688,-0.0782047167095179,-0.0815287922028709,-0.09366231791042533,-0.0353237504907426,9.79995960470274,-0.01265590672855631
41994.812,-8.196350529103625e-05,-0.22849404061027054,-0.13276296848710967,-0.029454402060797892,0.3792986317274988,-0.128318209901364,-0.13720772707285533,0.8286060851505174,-0.1141416002755481,9.800232372616355,-0.025878033991421558
41994.912,-0.00032572720587385957,-0.18142983995215883,-0.19086130035039695,-0.06043135109706366,0.5423199845339347,-0.18145026728790192,-0.20027233341289197,1.6429047048274454,-0.23982498128008795,9.800452882587072,-0.053193723164953605
41995.012,-0.0010291787530521148,-0.12378224341575951,-0.2019970580852215,-0.08137308847770328,0.699410117595169,-0.1892315026453204,-0.2147626135251226,1.5443386144908675,-0.18388170178484084,9.800421282865896,-0.07756415746108392
41995.112,-0.0024858858836207453,-0.1709586602326965,-0.16951657769900264,-0.08167562441795355,0.846089482819179,-0.1584172541191622,-0.18061590127884308,1.4697244696553102,-0.06270474773071259,9.800418664595695,-0.08230460726796603
41995.212,-0.004983719188800919,-0.22861747838445348,-0.1619826074257218,-0.09131960258781674,0.9856980862849203,-0.15338135467445202,-0.17058386017699156,1.3706924927074957,-0.13929607663477803,9.800257408125937,-0.08895599914749772
41995.314,-0.008877628850512662,-0.26351490470367117,-0.19045661048508045,-0.12350830829690933,1.1169628121815867,-0.1804873692746627,-0.2004258516954982,1.2590235541632755,-0.3268602570070811,9.800291401778313,-0.11601952222115865
41995.414,-0.0146583321782519,-0.222177238899826,-0.23711958797807942,-0.1707804669245182,1.2344048611742846,-0.22247858395558762,-0.2517605920005712,1.1460139314812368,-0.46569641317730975,9.800195987507408,-0.16119367401272916
41995.512,-0.023048847322626815,-0.2270258148854103,-0.24274885264691326,-0.1863933400901179,1.3471714210944283,-0.2254231039314254,-0.2600746013624011,1.1132897998418783,-0.2898069315937049,9.800478642637133,-0.1836550933488915
41995.612,-0.03484252613462215,-0.20434010129369454,-0.24057390214320407,-0.19912201092663165,1.4544194217791144,-0.22403872769483169,-0.25710907659157645,1.0350578724272415,-0.3483182160897035,9.800214820830277,-0.19702933365721856
41995.712,-0.050658396781592514,-0.16372078966005468,-0.21976563874914312,-0.19468007373585142,1.557736003597498,-0.20577457129912702,-0.23375670619915923,0.9829035426386719,-0.2990246214101718,9.800818215743611,-0.1939472604284693
41995.812,-0.07025142028714591,-0.11789753741560031,-0.18801624595661082,-0.1765548666016968,1.6552313246767176,-0.17763773528404325,-0.19839475662917838,0.9331747175931117,-0.22584718657326658,9.800798751730975,-0.17817219746095972
41995.914,-0.09441159696028101,-0.12666701314923984,-0.1481849222560503,-0.14517605356724864,1.7508788267250524,-0.14203527205181743,-0.15433457246028315,0.8849984937888646,-0.11803615925219257,9.80071470091301,-0.14961105871393504
41996.011,-0.12192735773610644,-0.15522159287569703,-0.1330133863641061,-0.13567872641165504,1.8322096172395697,-0.12960280382052325,-0.13642396890768893,0.8061675558566177,-0.22255700181004345,9.800089126569434,-0.13737526410777937
41996.114,-0.15385328147925234,-0.21101822731893097,-0.1469249261007941,-0.15519726619743726,1.909453948622041,-0.14420671901077764,-0.14964313319081057,0.7279504163053636,-0.3794061697280975,9.799727004325812,-0.15303429017761916
